3	-6.3	0000000010000000	4	2
6	-6.3	0000000011000000	4	2
7	-6.3	0000000010100000	4	2
8	-6.3	0000000011100000	4	2
9	-6.3	0000000010011000	4	2
11	-4.3	011101	0	0
19	-6.3	0000000010000100	4	2
20	-6.3	0000000010000010	4	2
21	-6.3	0000000010000110	4	2
24	-6.3	0000000011000100	4	2
27	-6.3	0000000010100100	4	2
28	-6.3	0000000010100010	4	2
29	-6.3	0000000011000010	4	2
31	-6.3	0000000011000110	4	2
35	-6.3	0000000010100110	4	2
36	-6.3	0000000011100110	4	2
45	-4.6	0000000000000000	4	2
46	-6.3	0000000000000000	4	2
48	-4.6	0000000000000001	2	2
53	-6.3	0000000000000001	2	2
54	-4.6	0000000000000001	5	2
56	-6	011101	0	0
59	-4.6	0000000010000000	4	1
63	-6.3	0000000010000000	4	2
75	-4.6	0000000000000011	2	2
77	-6.3	0000000000000011	2	2
78	-4.6	0000000000000011	5	2
80	-6	011101	0	0
85	-6.3	0000000011000000	4	2
94	-4.6	0000000000000101	2	2
97	-4.6	0000000000000101	5	2
98	-6	011101	0	0
100	-6.3	0000000010100000	4	2
101	-4.3	011101	0	0
106	-6.3	0000000011100000	4	2
112	-4.6	0000000000011000	4	2
113	-6.3	0000000000011000	4	2
114	-4.3	011101	0	0
116	-4.6	0000000000011001	5	2
117	-4.6	0000000010000001	2	2
118	-4.6	0000000000100001	2	2
119	-4.6	0000000001000001	2	2
121	-6.3	0000000010011000	4	2
134	-6	011101	0	0
135	-4.6	0000000010000101	2	2
138	-6	011101	0	0
140	-6	011101	0	0
141	-6.3	0000000000100001	2	2
142	-6.3	0000000001000001	2	2
143	-6.3	0000000001100001	2	2
149	-4.6	0000000000100001	5	2
150	-4.6	0000000001000001	5	1
153	-4.6	0000000010000011	2	2
156	-6	011101	0	0
158	-6	011101	0	0
159	-6	011101	0	0
160	-6	011101	0	0
161	-6	011101	0	0
166	-4.6	0000000010000101	5	1
167	-4.6	0000000010000011	5	1
173	-4.6	0000000010000100	4	1
174	-4.6	0000000010000010	4	1
175	-4.6	0000000010000110	4	1
176	-6.3	0000000010000001	5	1
178	-4.3	011101	0	0
186	-6.3	0000000010000100	4	2
187	-6.3	0000000010000010	4	2
188	-6.3	0000000010000110	4	2
197	-4.6	0000000000100011	2	2
200	-6.3	0000000000100011	2	2
